,Iteration,Gates,Bays,Station_Dist,Truck_HoS,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_Speed,Fleet
288,18,1,1,50,14,180000.0,1.0,4.003,1.253,7,35,45,50
289,18,1,1,50,15,198000.0,1.0,4.746,1.207,7,35,45,50
290,18,1,1,50,16,216000.0,1.0,5.155,1.272,7,35,45,50
291,18,1,1,50,17,225000.0,1.0,6.093,1.234,7,35,45,50
292,18,1,1,50,18,234000.0,1.0,6.666,1.255,7,35,45,50
293,18,1,1,50,24,234000.0,1.0,5.955,1.255,7,35,45,50
294,19,1,1,50,14,189000.0,1.0,5.283,0.956,7,35,45,50
295,19,1,1,50,15,207000.0,1.095,4.93,1.027,7,35,45,50
296,19,1,1,50,16,216000.0,1.091,4.768,0.976,7,35,45,50
297,19,1,1,50,17,225000.0,1.087,5.985,0.954,7,35,45,50
298,19,1,1,50,18,243000.0,1.08,6.146,0.976,7,35,45,50
299,19,1,1,50,24,243000.0,1.08,6.489,0.948,7,35,45,50
300,20,1,1,50,14,189000.0,1.05,4.504,1.082,7,35,45,50
301,20,1,1,50,15,207000.0,1.045,4.86,1.047,7,35,45,50
302,20,1,1,50,16,207000.0,1.0,5.428,1.025,7,35,45,50
303,20,1,1,50,17,234000.0,1.04,5.838,1.054,7,35,45,50
304,20,1,1,50,18,243000.0,1.0,6.473,1.028,7,35,45,50
305,20,1,1,50,24,252000.0,1.037,6.111,1.026,7,35,45,50
306,21,1,1,50,14,189000.0,1.05,4.471,0.937,7,35,45,50
307,21,1,1,50,15,198000.0,1.048,5.296,0.98,7,35,45,50
308,21,1,1,50,16,216000.0,1.043,5.429,0.998,7,35,45,50
309,21,1,1,50,17,234000.0,1.083,5.833,1.034,7,35,45,50
310,21,1,1,50,18,252000.0,1.077,6.165,1.075,7,35,45,50
311,21,1,1,50,24,243000.0,1.08,6.013,1.04,7,35,45,50
312,22,1,1,50,14,180000.0,1.0,4.817,1.233,7,35,45,50
313,22,1,1,50,15,189000.0,1.0,4.948,1.229,7,35,45,50
314,22,1,1,50,16,216000.0,1.091,4.548,1.35,7,35,45,50
315,22,1,1,50,17,234000.0,1.0,6.173,1.21,7,35,45,50
316,22,1,1,50,18,243000.0,1.038,5.976,1.295,7,35,45,50
317,22,1,1,50,24,243000.0,1.038,5.866,1.25,7,35,45,50
318,23,1,1,50,14,189000.0,1.0,3.842,1.264,7,35,45,50
319,23,1,1,50,15,198000.0,1.0,5.077,1.266,7,35,45,50
320,23,1,1,50,16,225000.0,1.0,5.818,1.203,7,35,45,50
321,23,1,1,50,17,234000.0,1.0,5.579,1.221,7,35,45,50
322,23,1,1,50,18,252000.0,1.0,6.81,1.188,7,35,45,50
323,23,1,1,50,24,252000.0,1.0,6.564,1.173,7,35,45,50
324,24,1,1,50,14,189000.0,1.05,4.595,1.153,7,35,45,50
325,24,1,1,50,15,198000.0,1.0,5.298,1.163,7,35,45,50
326,24,1,1,50,16,207000.0,1.045,5.421,1.163,7,35,45,50
327,24,1,1,50,17,234000.0,1.04,5.624,1.172,7,35,45,50
328,24,1,1,50,18,243000.0,1.038,6.45,1.168,7,35,45,50
329,24,1,1,50,24,252000.0,1.077,5.891,1.172,7,35,45,50
330,25,1,1,50,14,189000.0,1.0,4.595,1.062,7,35,45,50
331,25,1,1,50,15,198000.0,1.0,5.303,1.076,7,35,45,50
332,25,1,1,50,16,225000.0,1.0,5.757,1.028,7,35,45,50
333,25,1,1,50,17,225000.0,1.0,5.861,1.048,7,35,45,50
334,25,1,1,50,18,243000.0,1.0,6.565,1.008,7,35,45,50
335,25,1,1,50,24,252000.0,1.0,6.187,1.001,7,35,45,50
336,26,1,1,50,14,171000.0,1.0,4.38,1.131,7,35,45,50
337,26,1,1,50,15,198000.0,1.0,4.997,1.15,7,35,45,50
338,26,1,1,50,16,225000.0,1.0,5.198,1.109,7,35,45,50
339,26,1,1,50,17,234000.0,1.04,5.622,1.187,7,35,45,50
340,26,1,1,50,18,243000.0,1.08,5.729,1.26,7,35,45,50
341,26,1,1,50,24,243000.0,1.038,6.324,1.227,7,35,45,50
342,27,1,1,50,14,171000.0,1.0,4.459,1.122,7,35,45,50
343,27,1,1,50,15,198000.0,1.0,5.114,1.11,7,35,45,50
344,27,1,1,50,16,216000.0,1.043,5.326,1.191,7,35,45,50
345,27,1,1,50,17,225000.0,1.042,5.766,1.256,7,35,45,50
346,27,1,1,50,18,234000.0,1.04,6.469,1.263,7,35,45,50
347,27,1,1,50,24,243000.0,1.038,6.297,1.243,7,35,45,50
348,28,1,1,50,14,189000.0,1.05,4.004,1.139,7,35,45,50
349,28,1,1,50,15,207000.0,1.045,4.704,1.135,7,35,45,50
350,28,1,1,50,16,207000.0,1.0,5.321,1.15,7,35,45,50
351,28,1,1,50,17,225000.0,1.042,5.878,1.151,7,35,45,50
352,28,1,1,50,18,243000.0,1.0,6.027,1.187,7,35,45,50
353,28,1,1,50,24,243000.0,1.038,5.983,1.203,7,35,45,50
354,29,1,1,50,14,189000.0,1.05,4.424,1.057,7,35,45,50
355,29,1,1,50,15,189000.0,1.05,5.02,1.023,7,35,45,50
356,29,1,1,50,16,216000.0,1.091,5.499,1.043,7,35,45,50
357,29,1,1,50,17,234000.0,1.04,5.761,1.037,7,35,45,50
358,29,1,1,50,18,243000.0,1.08,6.063,1.063,7,35,45,50
359,29,1,1,50,24,252000.0,1.077,5.817,1.039,7,35,45,50
360,0,1,1,100,14,189000.0,1.05,4.234,2.016,7,35,45,50
361,0,1,1,100,15,198000.0,1.0,5.021,1.816,7,35,45,50
362,0,1,1,100,16,198000.0,1.0,5.575,1.843,7,35,45,50
363,0,1,1,100,17,225000.0,1.042,5.793,1.939,7,35,45,50
364,0,1,1,100,18,225000.0,1.0,6.165,2.009,7,35,45,50
365,0,1,1,100,24,225000.0,1.0,6.147,2.06,7,35,45,50
