,Iteration,Gates,Bays,Station_Dist,Truck_Speed,Flow,Trips_Per_Truck,Gate_Queue_Wait,Driving_Time,Gate_Time,Bay_Time,Truck_HoS,Fleet
238,9,1,1,50,65,189000.0,1.0,4.606,0.837,7,35,14,50
239,9,1,1,50,75,189000.0,1.0,4.699,0.724,7,35,14,50
240,10,1,1,50,25,180000.0,1.0,4.516,2.215,7,35,14,50
241,10,1,1,50,35,180000.0,1.0,4.526,1.618,7,35,14,50
242,10,1,1,50,45,189000.0,1.0,4.571,1.306,7,35,14,50
243,10,1,1,50,55,189000.0,1.0,4.776,1.027,7,35,14,50
244,10,1,1,50,65,189000.0,1.05,4.667,0.91,7,35,14,50
245,10,1,1,50,75,189000.0,1.05,4.367,0.787,7,35,14,50
246,11,1,1,50,25,171000.0,1.0,4.234,1.851,7,35,14,50
247,11,1,1,50,35,171000.0,1.0,4.998,1.444,7,35,14,50
248,11,1,1,50,45,180000.0,1.0,4.7,1.146,7,35,14,50
249,11,1,1,50,55,180000.0,1.0,4.258,0.98,7,35,14,50
250,11,1,1,50,65,180000.0,1.053,4.154,0.824,7,35,14,50
251,11,1,1,50,75,189000.0,1.05,4.474,0.729,7,35,14,50
252,12,1,1,50,25,189000.0,1.0,4.533,1.284,7,35,14,50
253,12,1,1,50,35,180000.0,1.0,4.384,0.934,7,35,14,50
254,12,1,1,50,45,189000.0,1.0,4.707,0.712,7,35,14,50
255,12,1,1,50,55,189000.0,1.0,4.761,0.59,7,35,14,50
256,12,1,1,50,65,189000.0,1.0,4.704,0.494,7,35,14,50
257,12,1,1,50,75,189000.0,1.05,4.341,0.456,7,35,14,50
258,13,1,1,50,25,180000.0,1.0,4.462,1.726,7,35,14,50
259,13,1,1,50,35,180000.0,1.0,4.525,1.244,7,35,14,50
260,13,1,1,50,45,180000.0,1.0,4.776,1.014,7,35,14,50
261,13,1,1,50,55,180000.0,1.0,4.853,0.861,7,35,14,50
262,13,1,1,50,65,180000.0,1.111,4.074,0.777,7,35,14,50
263,13,1,1,50,75,180000.0,1.0,4.901,0.611,7,35,14,50
264,14,1,1,50,25,171000.0,1.056,4.645,1.765,7,35,14,50
265,14,1,1,50,35,180000.0,1.053,4.614,1.403,7,35,14,50
266,14,1,1,50,45,180000.0,1.053,4.341,1.1,7,35,14,50
267,14,1,1,50,55,180000.0,1.053,4.465,0.915,7,35,14,50
268,14,1,1,50,65,180000.0,1.0,4.954,0.758,7,35,14,50
269,14,1,1,50,75,180000.0,1.0,4.999,0.659,7,35,14,50
270,15,1,1,50,25,180000.0,1.0,4.363,1.451,7,35,14,50
271,15,1,1,50,35,171000.0,1.0,4.566,1.081,7,35,14,50
272,15,1,1,50,45,189000.0,1.05,4.622,0.881,7,35,14,50
273,15,1,1,50,55,189000.0,1.0,5.128,0.697,7,35,14,50
274,15,1,1,50,65,189000.0,1.0,4.897,0.585,7,35,14,50
275,15,1,1,50,75,189000.0,1.0,4.949,0.523,7,35,14,50
276,16,1,1,50,25,180000.0,1.053,4.301,1.739,7,35,14,50
277,16,1,1,50,35,189000.0,1.05,4.254,1.297,7,35,14,50
278,16,1,1,50,45,189000.0,1.05,4.498,0.992,7,35,14,50
279,16,1,1,50,55,189000.0,1.05,4.414,0.817,7,35,14,50
280,16,1,1,50,65,189000.0,1.0,4.775,0.683,7,35,14,50
281,16,1,1,50,75,189000.0,1.0,5.124,0.591,7,35,14,50
282,17,1,1,50,25,180000.0,1.0,4.751,2.015,7,35,14,50
283,17,1,1,50,35,189000.0,1.05,4.366,1.464,7,35,14,50
284,17,1,1,50,45,189000.0,1.05,4.449,1.192,7,35,14,50
285,17,1,1,50,55,189000.0,1.05,4.361,0.969,7,35,14,50
286,17,1,1,50,65,189000.0,1.05,4.715,0.845,7,35,14,50
287,17,1,1,50,75,189000.0,1.05,4.536,0.742,7,35,14,50
288,18,1,1,50,25,171000.0,1.0,4.668,1.829,7,35,14,50
289,18,1,1,50,35,171000.0,1.0,4.401,1.303,7,35,14,50
290,18,1,1,50,45,189000.0,1.0,4.536,0.993,7,35,14,50
291,18,1,1,50,55,180000.0,1.0,4.857,0.807,7,35,14,50
292,18,1,1,50,65,189000.0,1.0,4.523,0.707,7,35,14,50
293,18,1,1,50,75,189000.0,1.0,4.728,0.637,7,35,14,50
294,19,1,1,50,25,180000.0,1.0,4.151,1.455,7,35,14,50
295,19,1,1,50,35,189000.0,1.0,4.769,0.98,7,35,14,50
296,19,1,1,50,45,189000.0,1.0,4.877,0.817,7,35,14,50
297,19,1,1,50,55,189000.0,1.05,4.431,0.718,7,35,14,50
298,19,1,1,50,65,180000.0,1.0,4.617,0.587,7,35,14,50
299,19,1,1,50,75,198000.0,1.1,4.392,0.523,7,35,14,50
300,20,1,1,50,25,180000.0,1.053,4.278,1.992,7,35,14,50
301,20,1,1,50,35,180000.0,1.0,5.09,1.409,7,35,14,50
302,20,1,1,50,45,180000.0,1.0,4.736,1.081,7,35,14,50
303,20,1,1,50,55,180000.0,1.0,4.428,1.005,7,35,14,50
304,20,1,1,50,65,189000.0,1.105,4.5,0.862,7,35,14,50
305,20,1,1,50,75,189000.0,1.105,4.338,0.749,7,35,14,50
306,21,1,1,50,25,180000.0,1.0,4.305,2.044,7,35,14,50
307,21,1,1,50,35,189000.0,1.0,4.422,1.462,7,35,14,50
308,21,1,1,50,45,189000.0,1.0,4.506,1.114,7,35,14,50
309,21,1,1,50,55,189000.0,1.0,4.172,0.933,7,35,14,50
310,21,1,1,50,65,189000.0,1.0,4.711,0.827,7,35,14,50
311,21,1,1,50,75,189000.0,1.0,4.597,0.713,7,35,14,50
312,22,1,1,50,25,189000.0,1.0,4.733,1.789,7,35,14,50
313,22,1,1,50,35,198000.0,1.048,4.466,1.356,7,35,14,50
314,22,1,1,50,45,189000.0,1.05,4.555,1.115,7,35,14,50
