,Gates,Bays,Station_Dist,Parameter,Value,p-value,DES_Mono,Avg_OFC
5800,2,10,50,Gate,1,0.4876152630687566,False,1.5785999999999996
5801,2,10,50,Gate,2,0.10834570308691739,True,1.5864
5802,2,10,50,Gate,3,0.49323094456786243,False,1.5659999999999998
5803,2,10,50,Gate,4,0.06316493223240728,True,1.5756000000000001
5804,2,10,50,Gate,5,0.6576861998087552,True,1.5513000000000001
5805,2,10,50,Gate,6,0.009825936313912775,True,1.5465000000000004
5806,2,10,50,Gate,7,1.9663618733985243e-15,True,1.5195000000000003
5807,2,10,50,Gate,8,4.709834721759611e-14,True,1.3992
5808,2,10,50,Gate,9,6.079713182281041e-14,True,1.2747
5809,2,10,50,Gate,10,2.6570842600082293e-49,True,1.161
5810,2,10,50,Gate,15,1.2140462230515965e-38,True,0.8216999999999999
5811,2,10,50,Bay,15.0,0.35282285956541914,True,1.6404000000000003
5812,2,10,50,Bay,17.5,0.5818038460228455,True,1.6268999999999998
5813,2,10,50,Bay,20.0,0.11161988932480031,True,1.6194
5814,2,10,50,Bay,22.5,0.35614404530558963,True,1.6008
5815,2,10,50,Bay,25.0,0.18318142007424754,True,1.5903
5816,2,10,50,Bay,27.5,0.32854397711430117,True,1.5735
5817,2,10,50,Bay,30.0,0.33887805030716045,True,1.5612000000000001
5818,2,10,50,Bay,32.5,0.15994420106880824,True,1.5486000000000002
5819,2,10,50,Bay,35.0,1.118507766925954e-06,True,1.5309000000000001
5820,2,10,50,Bay,37.5,5.1043577147196624e-11,True,1.4729999999999999
5821,2,10,50,Bay,40.0,2.1794716739069274e-09,True,1.3959000000000001
5822,2,10,50,Bay,42.5,9.614775764866676e-07,True,1.3215000000000001
5823,2,10,50,Speed,35,2.4416876205145334e-21,True,1.4117999999999997
5824,2,10,50,Speed,45,9.026652673280863e-16,True,1.5246
5825,2,10,50,Speed,55,5.9555413256432074e-05,True,1.5726000000000002
5826,2,10,50,Speed,65,0.0014227324007250494,True,1.6125000000000003
5827,2,10,50,Speed,75,0.5322964171864661,True,1.6190999999999998
5828,2,10,50,HoS,15,3.9159086799438215e-16,True,1.6745999999999996
5829,2,10,50,HoS,16,2.6673413936364936e-19,True,1.8195
5830,2,10,50,HoS,17,8.587949702020864e-21,True,1.9809000000000003
5831,2,10,50,HoS,18,2.3078169918492264e-18,True,2.1174000000000004
5832,2,10,50,Fleet,25,1.05504136765276e-40,True,0.8201999999999999
5833,2,10,50,Fleet,50,9.186164278028074e-53,True,1.5177
5834,2,10,50,Fleet,75,1.0927173197392546e-21,True,1.6983000000000001
5835,2,10,50,Fleet,100,1.94222990449264e-10,True,1.7823
5836,2,10,50,Fleet,125,0.39851797270535094,True,1.7892000000000003
5837,2,10,50,Fleet,150,0.004013883071909418,True,1.8041999999999994
5838,2,10,50,Fleet,175,0.7355184896264082,False,1.8027
5839,2,10,50,Fleet,200,0.3816039299090409,True,1.8065999999999998
5840,2,10,100,Gate,1,0.9272530726134927,False,1.2072
5841,2,10,100,Gate,2,0.6391119426047838,False,1.2084000000000001
5842,2,10,100,Gate,3,0.23039783411949777,True,1.2144000000000001
5843,2,10,100,Gate,4,0.19316824146018302,True,1.1982000000000002
5844,2,10,100,Gate,5,0.7494812062339217,False,1.1802000000000001
5845,2,10,100,Gate,6,0.05764747043437845,True,1.1841000000000004
5846,2,10,100,Gate,7,0.2974007769696723,True,1.1601
5847,2,10,100,Gate,8,0.06241027356864397,True,1.1460000000000001
5848,2,10,100,Gate,9,0.0003432382805204379,True,1.1217
5849,2,10,100,Gate,10,1.2633729528843921e-30,True,1.0766999999999998
5850,2,10,100,Gate,15,2.9796191845998025e-41,True,0.7755000000000002
5851,2,10,100,Bay,15.0,0.6492398111301518,True,1.2831000000000001
5852,2,10,100,Bay,17.5,0.14340381009822836,True,1.2776999999999996
5853,2,10,100,Bay,20.0,0.06954813829196717,True,1.2591
5854,2,10,100,Bay,22.5,0.9538967499593525,False,1.2368999999999999
5855,2,10,100,Bay,25.0,0.035327620639684226,True,1.2374999999999998
5856,2,10,100,Bay,27.5,0.09529226066148143,True,1.2132
5857,2,10,100,Bay,30.0,0.26418985186064575,True,1.1949
5858,2,10,100,Bay,32.5,0.17272736313798517,True,1.1838
5859,2,10,100,Bay,35.0,0.04982107004517756,True,1.1697
5860,2,10,100,Bay,37.5,0.4163011128463927,True,1.1486999999999996
5861,2,10,100,Bay,40.0,0.014600243964915377,True,1.1397
5862,2,10,100,Bay,42.5,0.04836182430605982,True,1.1102999999999998
5863,2,10,100,Speed,35,8.614396968462778e-26,True,1.0215
5864,2,10,100,Speed,45,4.2284921035197995e-19,True,1.1750999999999998
5865,2,10,100,Speed,55,1.0365857097503953e-11,True,1.2858000000000003
5866,2,10,100,Speed,65,7.93990865395039e-09,True,1.3778999999999995
5867,2,10,100,Speed,75,2.0786754801763165e-07,True,1.4489999999999994
5868,2,10,100,HoS,15,6.083167064365133e-14,True,1.2917999999999998
5869,2,10,100,HoS,16,1.0036304267275704e-10,True,1.3944
